_id,issue_type,priority,components
58bfcbf00ccb2667fe26b91c,Task,Minor,['tests']
58bfcbf40ccb2667fe26b98f,Bug,Major,['c client']
58bfcbf90ccb2667fe26ba47,Bug,Blocker,"['quorum', 'server']"
58bfcbfd0ccb2667fe26ba7d,Bug,Major,['contrib-bindings']
58bfcc030ccb2667fe26bb3a,Bug,Major,['contrib-bindings']
58bfcc0c0ccb2667fe26bc4b,Bug,Minor,"['java client', 'c client']"
58bfcc100ccb2667fe26bc85,Bug,Critical,['tests']
58bfcc140ccb2667fe26bcd6,Bug,Major,[]
58bfcc190ccb2667fe26bd8e,Bug,Major,['java client']
58bfcc210ccb2667fe26be6d,Bug,Major,['documentation']
58bfcc260ccb2667fe26beee,Bug,Major,['c client']
58bfcc2b0ccb2667fe26bf7b,Bug,Major,['c client']
58bfcc310ccb2667fe26c00c,Improvement,Major,['build']
58bfcc350ccb2667fe26c07e,Bug,Major,['build']
58bfcc3b0ccb2667fe26c0de,Improvement,Major,['documentation']
58bfcc410ccb2667fe26c15b,Bug,Major,[]
58bfcc480ccb2667fe26c1dc,Bug,Blocker,['contrib-bookkeeper']
58bfcc4c0ccb2667fe26c235,Bug,Major,[]
58bfcc550ccb2667fe26c2bd,Bug,Major,['build']
58bfcc5a0ccb2667fe26c2f2,Task,Major,[]
58bfcc600ccb2667fe26c364,Test,Major,['tests']
58bfcc690ccb2667fe26c3f3,Sub-task,Major,[]
58bfcc6c0ccb2667fe26c3f8,Sub-task,Minor,[]
58bfcc820ccb2667fe26c419,Sub-task,Major,[]
58bfcc890ccb2667fe26c46a,New Feature,Minor,[]
58bfcc8d0ccb2667fe26c4a7,Bug,Critical,['c client']
58bfcc910ccb2667fe26c4c7,Bug,Critical,"['quorum', 'server']"
58bfcc950ccb2667fe26c512,Sub-task,Major,[]
58bfcc990ccb2667fe26c531,Sub-task,Major,[]
58bfcc9f0ccb2667fe26c5c6,Bug,Critical,['java client']
58bfcca10ccb2667fe26c5dd,Improvement,Minor,[]
58bfcca60ccb2667fe26c60c,Sub-task,Major,[]
58bfccab0ccb2667fe26c62c,Sub-task,Major,[]
58bfccbb0ccb2667fe26c6e3,Bug,Trivial,['java client']
58bfccd00ccb2667fe26c7ee,Bug,Major,['server']
58bfccdb0ccb2667fe26c8af,Improvement,Major,['server']
58bfcd020ccb2667fe26cb7f,Bug,Critical,"['leaderElection', 'server']"
58bfcd080ccb2667fe26cc35,Bug,Trivial,['server']
58bfcd100ccb2667fe26cd3d,Improvement,Major,['server']
58bfcd160ccb2667fe26ce78,Bug,Major,['contrib-bindings']
58bfcd290ccb2667fe26d19b,Bug,Minor,"['recipes', 'documentation']"
58bfcd3a0ccb2667fe26d2b2,Improvement,Major,[]
58bfcd440ccb2667fe26d3b5,Bug,Blocker,['java client']
58bfcd490ccb2667fe26d42e,Bug,Blocker,[]
58bfcd580ccb2667fe26d64c,Bug,Blocker,['server']
58bfcd5d0ccb2667fe26d6b8,Bug,Critical,['contrib']
58bfcd6d0ccb2667fe26d96c,Sub-task,Major,['java client']
58bfcd800ccb2667fe26dc09,Bug,Major,['scripts']
58bfcd8a0ccb2667fe26dd1f,Bug,Major,['tests']
58bfcd960ccb2667fe26de38,New Feature,Major,['contrib-bookkeeper']
58bfcd9c0ccb2667fe26deef,Bug,Major,['contrib-bindings']
58bfcda30ccb2667fe26dfda,Bug,Major,['c client']
58bfcdb20ccb2667fe26e1b5,Bug,Major,['contrib-bindings']
58bfcdc60ccb2667fe26e352,Bug,Minor,['scripts']
